import time: self [us] | cumulative | imported package
import time:      1238 |       1238 |     _ssl
import time:      6105 |       7343 |   ssl
import time:       698 |        698 |     anyio.streams
import time:      6862 |       7560 |   anyio.streams.stapled
import time:      9570 |       9570 |   anyio.streams.tls
import time:     35309 |      35309 |   typing_extensions
import time:     19135 |      78914 | anyio._core._sockets
import time:     10244 |      10244 |   anyio.streams.memory
import time:      1549 |      11793 | anyio._core._streams
import time:      4188 |       4188 | anyio._core._subprocesses
import time:     12853 |      12853 | anyio._core._tempfile
import time:       821 |        821 |   coverage.version
import time:      1789 |       1789 |     coverage.env
import time:      1302 |       1302 |           _hashlib
import time:       235 |        235 |           _blake2
import time:       635 |       2171 |         hashlib
import time:       910 |        910 |         coverage.exceptions
import time:      4425 |       4425 |           coverage.types
import time:      4341 |       8766 |         coverage.misc
import time:      5605 |      17450 |       coverage.files
import time:      3326 |       3326 |       coverage.plugin
import time:      7475 |       7475 |         coverage.results
import time:      1578 |       9053 |       coverage.report_core
import time:      1835 |      31661 |     coverage.annotate
import time:      2302 |       2302 |         configparser
import time:      3197 |       3197 |         coverage.tomlconfig
import time:      7025 |      12523 |       coverage.config
import time:       758 |        758 |         coverage.disposition
import time:      2859 |       2859 |         coverage.pytracer
import time:      8750 |       8750 |           coverage.debug
import time:      6145 |      14895 |         coverage.sysmon
import time:       415 |        415 |         coverage.tracer
import time:      1251 |      20177 |       coverage.core
import time:       627 |        627 |               _sqlite3
import time:      1435 |       2061 |             sqlite3.dbapi2
import time:       702 |       2763 |           sqlite3
import time:      1387 |       1387 |           coverage.numbits
import time:      3080 |       3080 |           coverage.sqlitedb
import time:     12067 |      19295 |         coverage.sqldata
import time:      3229 |      22523 |       coverage.data
import time:      6246 |      61468 |     coverage.collector
import time:      1277 |       1277 |     coverage.context
import time:      4423 |       4423 |       coverage.templite
import time:     13848 |      18270 |     coverage.html
import time:      1158 |       1158 |       sysconfig
import time:       571 |        571 |           coverage.bytecode
import time:      1628 |       1628 |           coverage.phystokens
import time:     15955 |      18154 |         coverage.parser
import time:      2196 |       2196 |         coverage.regions
import time:      3813 |      24162 |       coverage.python
import time:      7220 |      32540 |     coverage.inorout
import time:      2197 |       2197 |     coverage.jsonreport
import time:      2122 |       2122 |     coverage.lcovreport
import time:       538 |        538 |           multiprocessing.process
import time:       694 |        694 |               _compat_pickle
import time:       311 |        311 |               _pickle
import time:      1715 |       2720 |             pickle
import time:       483 |       3202 |           multiprocessing.reduction
import time:       955 |       4694 |         multiprocessing.context
import time:       533 |       5227 |       multiprocessing
import time:      1330 |       6556 |     coverage.multiproc
import time:      3281 |       3281 |     coverage.plugin_support
import time:      2969 |       2969 |     coverage.report
import time:      1243 |       1243 |           xml.dom.domreg
import time:      1699 |       2942 |         xml.dom
import time:       966 |        966 |         xml.dom.minicompat
import time:       437 |        437 |           xml.dom.NodeFilter
import time:      3381 |       3818 |         xml.dom.xmlbuilder
import time:     19960 |      27685 |       xml.dom.minidom
import time:      3672 |      31356 |     coverage.xmlreport
import time:     10288 |     205769 |   coverage.control
import time:       572 |     207161 | coverage
import time:       807 |        807 | pytest_cov.compat
import time:      3122 |       3122 | pytest_cov.embed
import time:       139 |        139 | faulthandler
import time:      3717 |       3717 |   cmd
import time:      1144 |       1144 |     codeop
import time:      1919 |       3063 |   code
import time:     15237 |      22017 | pdb
import time:       802 |        802 |   email.feedparser
import time:       364 |       1165 | email.parser
