import time: self [us] | cumulative | imported package
import time:       271 |       2841 | tomllib
import time:       437 |        437 |   anyio._core
import time:       307 |        307 |     sniffio._version
import time:       104 |        104 |         _contextvars
import time:       242 |        345 |       contextvars
import time:       607 |        952 |     sniffio._impl
import time:       437 |       1695 |   sniffio
import time:      2410 |       4540 | anyio._core._eventloop
import time:      1886 |       1886 | anyio._core._exceptions
import time:      4939 |       4939 |       anyio.abc._eventloop
import time:       902 |        902 |       anyio.abc._resources
import time:      1418 |       1418 |         anyio._core._typedattr
import time:      1581 |       1581 |           anyio.abc._tasks
import time:      2962 |       4543 |         anyio.abc._streams
import time:      3662 |       9622 |       anyio.abc._sockets
import time:      1159 |       1159 |       anyio.abc._subprocesses
import time:      1112 |       1112 |       anyio.abc._testing
import time:      3875 |       3875 |         anyio.lowlevel
import time:      2254 |       2254 |         anyio._core._tasks
import time:      1371 |       1371 |         anyio._core._testing
import time:     15257 |      22756 |       anyio._core._synchronization
import time:       324 |        324 |           concurrent
import time:       765 |        765 |           concurrent.futures._base
import time:       379 |       1467 |         concurrent.futures
import time:      9469 |      10936 |       anyio.from_thread
import time:      1228 |      52650 |     anyio.abc
import time:      1126 |      53776 |   anyio.to_thread
import time:     14272 |      68047 | anyio._core._fileio
import time:       660 |        660 | anyio._core._resources
import time:       560 |        560 | anyio._core._signals
import time:       923 |        923 |     _ssl
import time:      3835 |       4758 |   ssl
import time:       392 |        392 |     anyio.streams
import time:      3854 |       4246 |   anyio.streams.stapled
import time:      6197 |       6197 |   anyio.streams.tls
import time:     24593 |      24593 |   typing_extensions
import time:      9089 |      48881 | anyio._core._sockets
import time:      7090 |       7090 |   anyio.streams.memory
import time:      1191 |       8281 | anyio._core._streams
import time:      3588 |       3588 | anyio._core._subprocesses
import time:      8643 |       8643 | anyio._core._tempfile
import time:       688 |        688 |   coverage.version
import time:      1366 |       1366 |     coverage.env
import time:      1063 |       1063 |           _hashlib
import time:       137 |        137 |           _blake2
import time:       503 |       1702 |         hashlib
import time:       661 |        661 |         coverage.exceptions
import time:      2407 |       2407 |           coverage.types
import time:      3254 |       5660 |         coverage.misc
import time:      4799 |      12821 |       coverage.files
import time:      2423 |       2423 |       coverage.plugin
import time:      4885 |       4885 |         coverage.results
import time:      1280 |       6164 |       coverage.report_core
import time:      1381 |      22788 |     coverage.annotate
import time:      4441 |       4441 |         configparser
import time:      4885 |       4885 |         coverage.tomlconfig
import time:      6203 |      15528 |       coverage.config
import time:      2118 |       2118 |         coverage.disposition
import time:     10706 |      10706 |         coverage.pytracer
import time:      6635 |       6635 |           coverage.debug
import time:     10001 |      16635 |         coverage.sysmon
import time:       422 |        422 |         coverage.tracer
import time:      2011 |      31890 |       coverage.core
import time:       538 |        538 |               _sqlite3
import time:      1386 |       1923 |             sqlite3.dbapi2
import time:       627 |       2550 |           sqlite3
import time:      1173 |       1173 |           coverage.numbits
import time:      2642 |       2642 |           coverage.sqlitedb
import time:      9515 |      15878 |         coverage.sqldata
import time:      2075 |      17953 |       coverage.data
import time:      3554 |      68923 |     coverage.collector
import time:       882 |        882 |     coverage.context
import time:      2728 |       2728 |       coverage.templite
import time:     10551 |      13278 |     coverage.html
import time:       819 |        819 |       sysconfig
import time:       525 |        525 |           coverage.bytecode
import time:      1591 |       1591 |           coverage.phystokens
import time:     12547 |      14663 |         coverage.parser
import time:      1771 |       1771 |         coverage.regions
import time:      2409 |      18842 |       coverage.python
import time:      4845 |      24505 |     coverage.inorout
import time:      1785 |       1785 |     coverage.jsonreport
import time:      1988 |       1988 |     coverage.lcovreport
import time:       518 |        518 |           multiprocessing.process
import time:       436 |        436 |               _compat_pickle
import time:       210 |        210 |               _pickle
import time:      1460 |       2104 |             pickle
import time:       489 |       2593 |           multiprocessing.reduction
import time:       771 |       3881 |         multiprocessing.context
import time:       404 |       4285 |       multiprocessing
import time:      1190 |       5474 |     coverage.multiproc
import time:      3527 |       3527 |     coverage.plugin_support
import time:      3170 |       3170 |     coverage.report
import time:      1005 |       1005 |           xml.dom.domreg
import time:      1406 |       2410 |         xml.dom
import time:      2035 |       2035 |         xml.dom.minicompat
import time:      1074 |       1074 |           xml.dom.NodeFilter
import time:      7573 |       8646 |         xml.dom.xmlbuilder
import time:     44867 |      57957 |       xml.dom.minidom
import time:      3873 |      61830 |     coverage.xmlreport
import time:      8176 |     217687 |   coverage.control
import time:       529 |     218903 | coverage
import time:      1966 |       1966 | pytest_cov.compat
import time:      5238 |       5238 | pytest_cov.embed
import time:       211 |        211 | faulthandler
import time:      5052 |       5052 |   cmd
import time:      1814 |       1814 |     codeop
import time:      3154 |       4968 |   code
import time:     19053 |      29072 | pdb
import time:      1119 |       1119 |   email.feedparser
import time:       563 |       1682 | email.parser
